distance_category,length,seed,algorithm,direct_distance,execution_time,operations,success,path_length
100-200,200,520004,A*,101.3755,0.006951,492,True,115.4339
100-200,200,520004,Dijkstra,101.3755,3.839237,348549,True,115.4339
100-200,200,520004,Breadth-First,101.3755,1.927151,286852,True,120.2076
100-200,200,520004,Theta*,101.3755,0.042232,189,True,111.6682
100-200,200,520005,A*,176.9661,0.552642,47621,True,194.1645
100-200,200,520005,Dijkstra,176.9661,5.017394,453298,True,194.1645
100-200,200,520005,Breadth-First,176.9661,2.48359,361223,True,204.3169
100-200,200,520005,Theta*,176.9661,0.235043,3725,True,186.2526
100-200,200,520006,A*,113.5473,0.019751,1216,True,122.5515
100-200,200,520006,Dijkstra,113.5473,3.235789,297367,True,122.5515
100-200,200,520006,Breadth-First,113.5473,1.64309,244438,True,122.7442
100-200,200,520006,Theta*,113.5473,0.093181,275,True,115.851
100-200,200,520007,A*,103.1891,0.015667,931,True,110.1489
100-200,200,520007,Dijkstra,103.1891,3.541932,321401,True,110.1489
100-200,200,520007,Breadth-First,103.1891,1.855941,275106,True,115.3123
100-200,200,520007,Theta*,103.1891,0.145624,1060,True,104.7382
100-200,200,520008,A*,197.0,0.77496,69364,True,212.7975
100-200,200,520008,Dijkstra,197.0,4.791024,442558,True,212.7975
100-200,200,520008,Breadth-First,197.0,2.45983,370460,True,222.2568
100-200,200,520008,Theta*,197.0,1.151322,31937,True,202.8331
100-200,200,520009,A*,100.3245,0.121915,10774,True,109.045
100-200,200,520009,Dijkstra,100.3245,3.052247,277451,True,109.045
100-200,200,520009,Breadth-First,100.3245,1.551439,233594,True,114.0156
100-200,200,520009,Theta*,100.3245,0.212059,3118,True,103.188
100-200,200,520010,A*,198.0,0.968361,83777,True,215.0115
100-200,200,520010,Dijkstra,198.0,5.117195,461064,True,215.0115
100-200,200,520010,Breadth-First,198.0,2.604618,373656,True,220.9642
100-200,200,520010,Theta*,198.0,2.285462,53298,True,205.5752
100-200,200,520011,A*,109.6631,0.171674,14257,True,120.5727
100-200,200,520011,Dijkstra,109.6631,4.253727,379541,True,120.5727
100-200,200,520011,Breadth-First,109.6631,2.137341,310844,True,125.697
100-200,200,520011,Theta*,109.6631,0.638657,7576,True,115.7462
100-200,200,520012,A*,196.0204,0.707146,61361,True,211.2582
100-200,200,520012,Dijkstra,196.0204,4.818624,438107,True,211.2582
100-200,200,520012,Breadth-First,196.0204,2.467048,368552,True,217.7503
100-200,200,520012,Theta*,196.0204,2.391627,52109,True,203.1398
100-200,200,520013,A*,126.9094,0.011881,703,True,137.112
100-200,200,520013,Dijkstra,126.9094,3.628846,333128,True,137.112
100-200,200,520013,Breadth-First,126.9094,1.78139,266237,True,144.6252
100-200,200,520013,Theta*,126.9094,0.05504,155,True,130.5391
100-200,200,520014,A*,197.0051,0.721542,63594,True,212.9978
100-200,200,520014,Dijkstra,197.0051,4.840388,446091,True,212.9978
100-200,200,520014,Breadth-First,197.0051,2.461153,370346,True,222.3607
100-200,200,520014,Theta*,197.0051,1.569962,34980,True,204.236
100-200,200,520015,A*,162.4346,0.02773,1792,True,174.7087
100-200,200,520015,Dijkstra,162.4346,4.860736,444206,True,174.7087
100-200,200,520015,Breadth-First,162.4346,2.421661,361784,True,182.993
100-200,200,520015,Theta*,162.4346,0.065974,524,True,166.2806
100-200,200,520016,A*,116.6533,0.150631,13552,True,131.5508
100-200,200,520016,Dijkstra,116.6533,4.91706,445631,True,131.5508
100-200,200,520016,Breadth-First,116.6533,2.373668,349675,True,138.5821
100-200,200,520016,Theta*,116.6533,0.262209,6717,True,126.5643
100-200,200,520017,A*,106.2121,0.224596,19682,True,114.9487
100-200,200,520017,Dijkstra,106.2121,3.423101,313426,True,114.9487
100-200,200,520017,Breadth-First,106.2121,1.731567,258393,True,118.0696
100-200,200,520017,Theta*,106.2121,0.849334,14977,True,108.7836
100-200,200,520018,A*,150.9536,0.192133,16485,True,162.5624
100-200,200,520018,Dijkstra,150.9536,4.32698,396463,True,162.5624
100-200,200,520018,Breadth-First,150.9536,2.145467,320522,True,174.064
100-200,200,520018,Theta*,150.9536,0.144241,2849,True,155.4501
100-200,200,520019,A*,125.6901,0.179481,15431,True,134.045
100-200,200,520019,Dijkstra,125.6901,4.871589,440662,True,134.045
100-200,200,520019,Breadth-First,125.6901,2.447393,362229,True,139.3621
100-200,200,520019,Theta*,125.6901,0.234193,3243,True,128.2613
100-200,200,520020,A*,145.3444,0.290547,26550,True,157.773
100-200,200,520020,Dijkstra,145.3444,3.477785,323028,True,157.773
100-200,200,520020,Breadth-First,145.3444,1.794889,270936,True,174.9956
100-200,200,520020,Theta*,145.3444,0.640034,17421,True,150.1379
100-200,200,520021,A*,104.5466,0.021238,1392,True,118.1891
100-200,200,520021,Dijkstra,104.5466,5.36725,437517,True,118.1891
100-200,200,520021,Breadth-First,104.5466,2.364036,347096,True,122.3887
100-200,200,520021,Theta*,104.5466,0.114118,129,True,107.7695
100-200,200,520022,A*,198.0,0.191285,16054,True,209.4128
100-200,200,520022,Dijkstra,198.0,4.73793,434668,True,209.4128
100-200,200,520022,Breadth-First,198.0,2.453174,369862,True,214.5296
100-200,200,520022,Theta*,198.0,0.312387,6217,True,204.0457
100-200,200,520023,A*,103.0825,0.009846,708,True,104.9747
100-200,200,520023,Dijkstra,103.0825,3.130927,285802,True,104.9747
100-200,200,520023,Breadth-First,103.0825,1.7203,259319,True,105.0711
100-200,200,520023,Theta*,103.0825,0.047842,104,True,103.0825
100-200,200,520024,A*,121.2188,0.010864,652,True,132.3293
100-200,200,520024,Dijkstra,121.2188,3.410727,314399,True,132.3293
100-200,200,520024,Breadth-First,121.2188,1.72999,258542,True,145.0633
100-200,200,520024,Theta*,121.2188,0.05724,116,True,123.2958
100-200,200,520025,A*,197.0051,0.317264,27746,True,207.827
100-200,200,520025,Dijkstra,197.0051,4.826864,445006,True,207.827
100-200,200,520025,Breadth-First,197.0051,2.454655,369345,True,211.3334
100-200,200,520025,Theta*,197.0051,0.900842,18683,True,199.4972
100-200,200,520026,A*,106.7989,0.081106,6715,True,114.6308
100-200,200,520026,Dijkstra,106.7989,3.753729,341961,True,114.6308
100-200,200,520026,Breadth-First,106.7989,1.979767,296078,True,119.505
100-200,200,520026,Theta*,106.7989,0.132686,1601,True,109.5347
100-200,200,520027,A*,111.3014,0.104696,8781,True,124.7832
100-200,200,520027,Dijkstra,111.3014,3.069098,282650,True,124.7832
100-200,200,520027,Breadth-First,111.3014,1.48809,222635,True,126.44
100-200,200,520027,Theta*,111.3014,0.062499,596,True,118.5482
100-200,200,520028,A*,139.1905,0.569282,51745,True,152.6335
100-200,200,520028,Dijkstra,139.1905,4.214101,387774,True,152.6335
100-200,200,520028,Breadth-First,139.1905,2.094472,312886,True,154.2903
100-200,200,520028,Theta*,139.1905,1.380191,26769,True,145.1641
100-200,200,520029,A*,128.674,0.31081,28054,True,146.2076
100-200,200,520029,Dijkstra,128.674,4.327912,395688,True,146.2076
100-200,200,520029,Breadth-First,128.674,2.072789,308490,True,169.1937
100-200,200,520029,Theta*,128.674,0.179176,4319,True,137.5779
100-200,200,520030,A*,163.7956,0.247104,22895,True,177.4797
100-200,200,520030,Dijkstra,163.7956,5.36622,445299,True,177.4797
100-200,200,520030,Breadth-First,163.7956,2.930879,365462,True,185.0893
100-200,200,520030,Theta*,163.7956,0.827362,12780,True,169.7373
100-200,200,520031,A*,172.5225,0.12469,10553,True,180.7272
100-200,200,520031,Dijkstra,172.5225,4.742341,429945,True,180.7272
100-200,200,520031,Breadth-First,172.5225,2.477603,369252,True,185.2159
100-200,200,520031,Theta*,172.5225,0.399326,6850,True,175.0612
100-200,200,520032,A*,198.0,0.77693,68641,True,213.844
100-200,200,520032,Dijkstra,198.0,4.809,444153,True,213.844
100-200,200,520032,Breadth-First,198.0,2.457774,369950,True,241.5006
100-200,200,520032,Theta*,198.0,1.326464,32298,True,203.851
100-200,200,520033,A*,195.0436,0.689916,60808,True,207.8481
100-200,200,520033,Dijkstra,195.0436,4.75828,438934,True,207.8481
100-200,200,520033,Breadth-First,195.0436,2.453274,369217,True,216.036
100-200,200,520033,Theta*,195.0436,1.075878,25887,True,199.4665
100-200,200,520034,A*,141.1134,0.097165,8440,True,151.1373
100-200,200,520034,Dijkstra,141.1134,4.15562,380616,True,151.1373
100-200,200,520034,Breadth-First,141.1134,2.089945,312218,True,158.9971
100-200,200,520034,Theta*,141.1134,0.138643,379,True,143.105
100-200,200,520035,A*,197.0051,0.308181,27740,True,210.5624
100-200,200,520035,Dijkstra,197.0051,4.627739,430466,True,210.5624
100-200,200,520035,Breadth-First,197.0051,2.450656,369543,True,214.6471
100-200,200,520035,Theta*,197.0051,1.310347,28108,True,201.681
100-200,200,520036,A*,120.1,0.036027,2848,True,129.6554
100-200,200,520036,Dijkstra,120.1,2.929258,272367,True,129.6554
100-200,200,520036,Breadth-First,120.1,1.479404,224518,True,141.9465
100-200,200,520036,Theta*,120.1,0.054944,535,True,123.8737
100-200,200,520037,A*,197.0051,0.232747,20248,True,205.6308
100-200,200,520037,Dijkstra,197.0051,4.782154,438976,True,205.6308
100-200,200,520037,Breadth-First,197.0051,2.461655,370374,True,212.0655
100-200,200,520037,Theta*,197.0051,0.613752,13953,True,199.4551
100-200,200,520038,A*,153.4927,0.51196,46257,True,169.6116
100-200,200,520038,Dijkstra,153.4927,4.350894,400400,True,169.6116
100-200,200,520038,Breadth-First,153.4927,2.18904,326672,True,177.6457
100-200,200,520038,Theta*,153.4927,0.475126,10607,True,160.0354
100-200,200,520039,A*,112.3254,0.025644,1714,True,120.1701
100-200,200,520039,Dijkstra,112.3254,3.050416,280731,True,120.1701
100-200,200,520039,Breadth-First,112.3254,1.508557,226411,True,121.2877
100-200,200,520039,Theta*,112.3254,0.065378,597,True,114.1309
100-200,200,520040,A*,147.0816,0.089908,6848,True,163.6252
100-200,200,520040,Dijkstra,147.0816,4.681994,430463,True,163.6252
100-200,200,520040,Breadth-First,147.0816,2.30738,345114,True,175.0879
100-200,200,520040,Theta*,147.0816,0.08544,1198,True,154.9506
100-200,200,520041,A*,125.3236,0.135221,11712,True,136.8194
100-200,200,520041,Dijkstra,125.3236,4.0939,361246,True,136.8194
100-200,200,520041,Breadth-First,125.3236,2.031068,300632,True,147.3183
100-200,200,520041,Theta*,125.3236,0.379636,6346,True,133.4688
100-200,200,520042,A*,126.0079,0.10521,7743,True,146.7318
100-200,200,520042,Dijkstra,126.0079,4.716904,430765,True,146.7318
100-200,200,520042,Breadth-First,126.0079,2.220321,330804,True,151.3558
100-200,200,520042,Theta*,126.0079,0.050673,327,True,137.6782
100-200,200,520043,A*,106.4002,0.065191,5672,True,112.5597
100-200,200,520043,Dijkstra,106.4002,3.537833,324221,True,112.5597
100-200,200,520043,Breadth-First,106.4002,1.866235,278879,True,117.5303
100-200,200,520043,Theta*,106.4002,0.074722,633,True,107.1136
100-200,200,520044,A*,162.3392,0.075909,5707,True,175.2117
100-200,200,520044,Dijkstra,162.3392,4.029879,372156,True,175.2117
100-200,200,520044,Breadth-First,162.3392,2.066604,312284,True,197.366
100-200,200,520044,Theta*,162.3392,0.552123,12787,True,169.4509
100-200,200,520045,A*,197.0051,0.095445,8144,True,203.1455
100-200,200,520045,Dijkstra,197.0051,4.70067,433532,True,203.1455
100-200,200,520045,Breadth-First,197.0051,2.47028,369680,True,208.2125
100-200,200,520045,Theta*,197.0051,0.434628,5988,True,198.3822
100-200,200,520046,A*,197.0508,1.607125,141086,True,216.466
100-200,200,520046,Dijkstra,197.0508,4.892916,451883,True,216.466
100-200,200,520046,Breadth-First,197.0508,2.480239,374323,True,234.6982
100-200,200,520046,Theta*,197.0508,4.387248,106190,True,207.2258
100-200,200,520047,A*,151.2812,0.030876,2149,True,168.8187
100-200,200,520047,Dijkstra,151.2812,4.643496,425070,True,168.8187
100-200,200,520047,Breadth-First,151.2812,2.307424,343752,True,174.3819
100-200,200,520047,Theta*,151.2812,0.09691,1102,True,163.8263
100-200,200,520048,A*,101.005,0.008042,499,True,107.6021
100-200,200,520048,Dijkstra,101.005,3.247113,296043,True,107.6021
100-200,200,520048,Breadth-First,101.005,1.682931,251203,True,109.0662
100-200,200,520048,Theta*,101.005,0.041817,100,True,104.0901
100-200,200,520049,A*,121.3013,0.107621,9737,True,131.7019
100-200,200,520049,Dijkstra,121.3013,4.247755,386129,True,131.7019
100-200,200,520049,Breadth-First,121.3013,2.190149,326086,True,134.1872
100-200,200,520049,Theta*,121.3013,0.14375,3450,True,125.5402
100-200,200,520050,A*,151.6113,0.385468,35767,True,176.2378
100-200,200,520050,Dijkstra,151.6113,4.611408,423034,True,176.2378
100-200,200,520050,Breadth-First,151.6113,2.513653,374766,True,177.3089
100-200,200,520050,Theta*,151.6113,3.097232,53209,True,170.4599
100-200,200,520051,A*,103.5809,0.549288,51325,True,114.9445
100-200,200,520051,Dijkstra,103.5809,2.899213,268356,True,114.9445
100-200,200,520051,Breadth-First,103.5809,1.444508,218054,True,115.6766
100-200,200,520051,Theta*,103.5809,0.789805,9651,True,107.2876
100-200,200,520052,A*,108.3328,0.0245,1666,True,112.7778
100-200,200,520052,Dijkstra,108.3328,4.113418,373971,True,112.7778
100-200,200,520052,Breadth-First,108.3328,2.122882,314398,True,117.2665
100-200,200,520052,Theta*,108.3328,0.069075,371,True,109.2464
100-200,200,520053,A*,197.0051,0.072126,5987,True,203.1455
100-200,200,520053,Dijkstra,197.0051,4.688646,432134,True,203.1455
100-200,200,520053,Breadth-First,197.0051,2.466004,370486,True,207.2877
100-200,200,520053,Theta*,197.0051,0.230667,3869,True,197.9691
100-200,200,520054,A*,103.9904,0.067501,6205,True,112.3342
100-200,200,520054,Dijkstra,103.9904,4.518266,410150,True,112.3342
100-200,200,520054,Breadth-First,103.9904,2.248669,332964,True,116.9192
100-200,200,520054,Theta*,103.9904,0.167215,3354,True,109.6537
100-200,200,520055,A*,161.1335,0.090914,6629,True,174.4906
100-200,200,520055,Dijkstra,161.1335,4.438535,407081,True,174.4906
100-200,200,520055,Breadth-First,161.1335,2.240526,334137,True,176.2439
100-200,200,520055,Theta*,161.1335,1.44943,30347,True,167.9673
100-200,200,520056,A*,132.7441,0.032009,2651,True,138.7026
100-200,200,520056,Dijkstra,132.7441,3.453593,316665,True,138.7026
100-200,200,520056,Breadth-First,132.7441,1.862402,279133,True,146.9479
100-200,200,520056,Theta*,132.7441,0.25258,2081,True,134.5443
100-200,200,520057,A*,196.0102,0.040907,2885,True,199.853
100-200,200,520057,Dijkstra,196.0102,4.673855,426582,True,199.853
100-200,200,520057,Breadth-First,196.0102,2.457243,368935,True,200.0458
100-200,200,520057,Theta*,196.0102,0.226625,2820,True,196.8091
100-200,200,520058,A*,197.0051,0.25011,21563,True,207.1913
100-200,200,520058,Dijkstra,197.0051,4.721653,436277,True,207.1913
100-200,200,520058,Breadth-First,197.0051,2.460045,371171,True,238.5546
100-200,200,520058,Theta*,197.0051,1.461213,23756,True,200.9008
100-200,200,520059,A*,115.9224,0.089763,6879,True,131.3047
100-200,200,520059,Dijkstra,115.9224,4.797478,433770,True,131.3047
100-200,200,520059,Breadth-First,115.9224,2.383497,352415,True,139.0682
100-200,200,520059,Theta*,115.9224,0.239229,2531,True,125.3694
100-200,200,520060,A*,119.9417,0.233093,20874,True,128.6308
100-200,200,520060,Dijkstra,119.9417,3.957248,361589,True,128.6308
100-200,200,520060,Breadth-First,119.9417,2.485947,309639,True,130.9233
100-200,200,520060,Theta*,119.9417,1.161521,16109,True,124.3201
100-200,200,520061,A*,107.9398,0.046132,2187,True,118.3505
100-200,200,520061,Dijkstra,107.9398,6.16616,455428,True,118.3505
100-200,200,520061,Breadth-First,107.9398,2.419225,357180,True,128.8603
100-200,200,520061,Theta*,107.9398,0.085036,304,True,114.597
100-200,200,520062,A*,143.1922,0.025845,1800,True,157.9903
100-200,200,520062,Dijkstra,143.1922,3.779241,351160,True,157.9903
100-200,200,520062,Breadth-First,143.1922,1.852373,280800,True,180.6763
100-200,200,520062,Theta*,143.1922,0.151237,1649,True,150.665
100-200,200,520063,A*,102.2008,0.01848,1244,True,109.3342
100-200,200,520063,Dijkstra,102.2008,4.425716,402711,True,109.3342
100-200,200,520063,Breadth-First,102.2008,2.231314,331093,True,109.3342
100-200,200,520063,Theta*,102.2008,0.12422,1744,True,106.8352
100-200,200,520064,A*,197.0051,0.77944,69207,True,210.7941
100-200,200,520064,Dijkstra,197.0051,4.794076,445002,True,210.7941
100-200,200,520064,Breadth-First,197.0051,2.45926,371192,True,217.0935
100-200,200,520064,Theta*,197.0051,1.143462,28748,True,201.6853
100-200,200,520065,A*,197.0051,0.165252,14596,True,205.4381
100-200,200,520065,Dijkstra,197.0051,4.815914,443594,True,205.4381
100-200,200,520065,Breadth-First,197.0051,2.511241,371459,True,216.7469
100-200,200,520065,Theta*,197.0051,0.341655,6833,True,199.1831
100-200,200,520066,A*,138.6146,0.931303,82595,True,155.8051
100-200,200,520066,Dijkstra,138.6146,4.600059,414548,True,155.8051
100-200,200,520066,Breadth-First,138.6146,2.248983,336366,True,169.8917
100-200,200,520066,Theta*,138.6146,2.599115,53042,True,150.0942
100-200,200,520067,A*,147.5161,0.179536,14834,True,160.1154
100-200,200,520067,Dijkstra,147.5161,3.947181,361970,True,160.1154
100-200,200,520067,Breadth-First,147.5161,1.936945,292510,True,160.3081
100-200,200,520067,Theta*,147.5161,1.576318,32891,True,156.0406
100-200,200,520068,A*,105.2283,0.149766,13224,True,117.1872
100-200,200,520068,Dijkstra,105.2283,2.795658,258249,True,117.1872
100-200,200,520068,Breadth-First,105.2283,1.375881,207622,True,125.4325
100-200,200,520068,Theta*,105.2283,0.120093,2021,True,108.9366
100-200,200,520069,A*,168.0774,0.160124,13155,True,186.632
100-200,200,520069,Dijkstra,168.0774,4.422522,407881,True,186.632
100-200,200,520069,Breadth-First,168.0774,2.20118,331790,True,201.0229
100-200,200,520069,Theta*,168.0774,0.280377,4849,True,177.0729
100-200,200,520070,A*,108.037,0.14784,11923,True,121.0723
100-200,200,520070,Dijkstra,108.037,5.035266,450328,True,121.0723
100-200,200,520070,Breadth-First,108.037,2.353613,349238,True,124.7325
100-200,200,520070,Theta*,108.037,0.18791,3408,True,114.1867
100-200,200,520071,A*,139.1869,0.039467,2602,True,158.4748
100-200,200,520071,Dijkstra,139.1869,5.058006,461120,True,158.4748
100-200,200,520071,Breadth-First,139.1869,2.444088,364670,True,161.0954
100-200,200,520071,Theta*,139.1869,0.078228,477,True,145.7483
100-200,200,520072,A*,122.4337,0.024363,1662,True,133.3621
100-200,200,520072,Dijkstra,122.4337,3.681684,340353,True,133.3621
100-200,200,520072,Breadth-First,122.4337,1.833058,274832,True,142.8214
100-200,200,520072,Theta*,122.4337,0.042608,121,True,124.4766
100-200,200,520073,A*,188.3322,0.378266,35492,True,205.7333
100-200,200,520073,Dijkstra,188.3322,4.814239,444002,True,205.7333
100-200,200,520073,Breadth-First,188.3322,2.470904,367459,True,238.2531
100-200,200,520073,Theta*,188.3322,1.35927,34541,True,197.8585
100-200,200,520074,A*,106.0236,0.041441,2898,True,114.4128
100-200,200,520074,Dijkstra,106.0236,3.15304,288327,True,114.4128
100-200,200,520074,Breadth-First,106.0236,1.640843,245704,True,119.6724
100-200,200,520074,Theta*,106.0236,0.243598,2604,True,107.7265
100-200,200,520075,A*,130.4262,0.597754,54482,True,145.5296
100-200,200,520075,Dijkstra,130.4262,4.266594,382376,True,145.5296
100-200,200,520075,Breadth-First,130.4262,2.063125,308591,True,146.8973
100-200,200,520075,Theta*,130.4262,2.052144,48909,True,138.8078
100-200,200,520076,A*,138.3402,0.498801,44651,True,151.7941
100-200,200,520076,Dijkstra,138.3402,3.7768,341130,True,151.7941
100-200,200,520076,Breadth-First,138.3402,1.846305,271558,True,168.9703
100-200,200,520076,Theta*,138.3402,1.060283,21685,True,143.4561
100-200,200,520077,A*,195.0256,0.331334,29653,True,205.7306
100-200,200,520077,Dijkstra,195.0256,4.685941,434924,True,205.7306
100-200,200,520077,Breadth-First,195.0256,2.442648,367468,True,221.7209
100-200,200,520077,Theta*,195.0256,0.810052,20356,True,197.72
100-200,200,520078,A*,139.4597,0.245994,21506,True,153.2329
100-200,200,520078,Dijkstra,139.4597,4.00478,368164,True,153.2329
100-200,200,520078,Breadth-First,139.4597,2.020197,300090,True,160.3607
100-200,200,520078,Theta*,139.4597,0.275916,6776,True,144.9614
100-200,200,520079,A*,197.0102,0.45194,39881,True,207.5843
100-200,200,520079,Dijkstra,197.0102,4.817018,445275,True,207.5843
100-200,200,520079,Breadth-First,197.0102,2.448481,370101,True,211.0443
100-200,200,520079,Theta*,197.0102,1.25534,28994,True,201.5902
100-200,200,520080,A*,186.2552,0.206545,16743,True,202.1687
100-200,200,520080,Dijkstra,186.2552,4.741003,438625,True,202.1687
100-200,200,520080,Breadth-First,186.2552,2.438396,362530,True,203.7291
100-200,200,520080,Theta*,186.2552,0.662854,19293,True,193.029
100-200,200,520081,A*,138.8308,0.170766,14190,True,150.7688
100-200,200,520081,Dijkstra,138.8308,4.199784,383206,True,150.7688
100-200,200,520081,Breadth-First,138.8308,2.079529,308902,True,155.8932
100-200,200,520081,Theta*,138.8308,0.150017,2403,True,143.8662
100-200,200,520082,A*,197.0051,1.033365,90935,True,212.7012
100-200,200,520082,Dijkstra,197.0051,4.853801,448872,True,212.7012
100-200,200,520082,Breadth-First,197.0051,2.475231,370521,True,221.0428
100-200,200,520082,Theta*,197.0051,2.705449,61856,True,201.8825
100-200,200,520083,A*,104.5275,0.023494,1584,True,113.9944
100-200,200,520083,Dijkstra,104.5275,3.475652,317530,True,113.9944
100-200,200,520083,Breadth-First,104.5275,1.779831,264960,True,115.6513
100-200,200,520083,Theta*,104.5275,0.093005,1317,True,109.4566
100-200,200,520084,A*,116.1378,0.479232,43228,True,130.2877
100-200,200,520084,Dijkstra,116.1378,3.74724,343671,True,130.2877
100-200,200,520084,Breadth-First,116.1378,1.847673,275111,True,144.2889
100-200,200,520084,Theta*,116.1378,0.845067,21148,True,123.3126
100-200,200,520085,A*,120.2123,0.079322,6400,True,131.183
100-200,200,520085,Dijkstra,120.2123,3.307246,303680,True,131.183
100-200,200,520085,Breadth-First,120.2123,1.578114,236381,True,137.4824
100-200,200,520085,Theta*,120.2123,0.092594,1270,True,123.0365
100-200,200,520086,A*,137.8985,0.350189,31690,True,152.6294
100-200,200,520086,Dijkstra,137.8985,3.921666,360025,True,152.6294
100-200,200,520086,Breadth-First,137.8985,1.889102,283727,True,159.8535
100-200,200,520086,Theta*,137.8985,0.100574,1419,True,143.9651
100-200,200,520087,A*,119.975,0.023163,1622,True,133.1146
100-200,200,520087,Dijkstra,119.975,3.395477,311139,True,133.1146
100-200,200,520087,Breadth-First,119.975,1.619768,242350,True,136.332
100-200,200,520087,Theta*,119.975,0.051938,197,True,125.3175
100-200,200,520088,A*,134.0933,0.057853,4467,True,145.68
100-200,200,520088,Dijkstra,134.0933,3.989185,367675,True,145.68
100-200,200,520088,Breadth-First,134.0933,1.987799,298387,True,158.7995
100-200,200,520088,Theta*,134.0933,0.048137,198,True,139.7409
100-200,200,520089,A*,122.0164,0.303954,27382,True,138.8686
100-200,200,520089,Dijkstra,122.0164,3.275707,301132,True,138.8686
100-200,200,520089,Breadth-First,122.0164,1.586208,239190,True,144.3785
100-200,200,520089,Theta*,122.0164,0.359953,6616,True,132.1152
100-200,200,520090,A*,125.3276,0.023486,1265,True,135.4449
100-200,200,520090,Dijkstra,125.3276,3.124597,288363,True,135.4449
100-200,200,520090,Breadth-First,125.3276,1.60839,240102,True,135.5412
100-200,200,520090,Theta*,125.3276,0.179376,3444,True,128.8358
100-200,200,520091,A*,198.0025,3.100398,267049,True,222.1577
100-200,200,520091,Dijkstra,198.0025,5.194472,446613,True,222.1577
100-200,200,520091,Breadth-First,198.0025,2.600452,374121,True,228.5958
100-200,200,520091,Theta*,198.0025,7.533648,157833,True,210.5828
100-200,200,520092,A*,140.6663,0.480728,43408,True,155.4332
100-200,200,520092,Dijkstra,140.6663,4.574924,415268,True,155.4332
100-200,200,520092,Breadth-First,140.6663,2.258321,337468,True,177.1446
100-200,200,520092,Theta*,140.6663,0.524288,8543,True,144.365
100-200,200,520093,A*,131.3393,0.083906,6161,True,146.1044
100-200,200,520093,Dijkstra,131.3393,3.993577,368768,True,146.1044
100-200,200,520093,Breadth-First,131.3393,1.905383,286067,True,151.4605
100-200,200,520093,Theta*,131.3393,0.058195,489,True,138.8894
100-200,200,520094,A*,158.3603,1.169229,108156,True,174.7367
100-200,200,520094,Dijkstra,158.3603,4.899557,439767,True,174.7367
100-200,200,520094,Breadth-First,158.3603,2.344015,350593,True,176.4899
100-200,200,520094,Theta*,158.3603,0.401997,7313,True,164.4299
100-200,200,520095,A*,197.0051,1.111587,98161,True,214.0689
100-200,200,520095,Dijkstra,197.0051,4.877117,450621,True,214.0689
100-200,200,520095,Breadth-First,197.0051,2.461432,370668,True,222.4495
100-200,200,520095,Theta*,197.0051,1.75933,40874,True,204.2167
100-200,200,520096,A*,117.8813,0.853339,83054,True,135.6929
100-200,200,520096,Dijkstra,117.8813,4.527098,411459,True,135.6929
100-200,200,520096,Breadth-First,117.8813,2.178942,321889,True,150.2375
100-200,200,520096,Theta*,117.8813,2.254599,55187,True,127.2319
100-200,200,520097,A*,108.9449,0.359869,34060,True,119.2412
100-200,200,520097,Dijkstra,108.9449,3.918623,351968,True,119.2412
100-200,200,520097,Breadth-First,108.9449,2.004817,292254,True,119.2412
100-200,200,520097,Theta*,108.9449,1.271448,20428,True,113.4906
100-200,200,520098,A*,197.0051,1.218883,104876,True,211.7189
100-200,200,520098,Dijkstra,197.0051,4.92072,454950,True,211.7189
100-200,200,520098,Breadth-First,197.0051,2.464861,370577,True,222.2178
100-200,200,520098,Theta*,197.0051,4.581655,92816,True,204.1707
100-200,200,520099,A*,141.5662,0.567553,49955,True,153.3874
100-200,200,520099,Dijkstra,141.5662,4.668823,425359,True,153.3874
100-200,200,520099,Breadth-First,141.5662,2.327706,345442,True,162.1146
100-200,200,520099,Theta*,141.5662,1.706246,26351,True,145.8092
200-300,300,530000,A*,297.0034,0.888303,76972,True,310.2159
200-300,300,530000,Dijkstra,297.0034,7.430409,674427,True,310.2159
200-300,300,530000,Breadth-First,297.0034,3.76185,558020,True,316.1112
200-300,300,530000,Theta*,297.0034,2.019105,41617,True,299.3665
200-300,300,530001,A*,296.0068,0.462962,39680,True,305.2665
200-300,300,530001,Dijkstra,296.0068,7.196193,656684,True,305.2665
200-300,300,530001,Breadth-First,296.0068,3.758916,557172,True,331.5629
200-300,300,530001,Theta*,296.0068,1.105769,21464,True,297.8184
200-300,300,530002,A*,298.0,1.340585,115034,True,312.4298
200-300,300,530002,Dijkstra,298.0,10.66853,683682,True,312.4298
200-300,300,530002,Breadth-First,298.0,3.878031,557573,True,324.278
200-300,300,530002,Theta*,298.0,4.583663,98280,True,301.7402
200-300,300,530003,A*,297.0034,0.679665,56776,True,307.6342
200-300,300,530003,Dijkstra,297.0034,7.841669,666410,True,307.6342
200-300,300,530003,Breadth-First,297.0034,3.977914,558820,True,317.2862
200-300,300,530003,Theta*,297.0034,2.706164,41847,True,298.8197
200-300,300,530004,A*,297.0034,2.10954,173992,True,315.2828
200-300,300,530004,Dijkstra,297.0034,7.504323,678945,True,315.2828
200-300,300,530004,Breadth-First,297.0034,3.808363,558832,True,325.0886
200-300,300,530004,Theta*,297.0034,4.813382,107032,True,303.0283
200-300,300,530005,A*,297.0034,2.003641,168760,True,315.9725
200-300,300,530005,Dijkstra,297.0034,7.755732,696037,True,315.9725
200-300,300,530005,Breadth-First,297.0034,4.029721,559030,True,338.6326
