distance_category,length,seed,algorithm,direct_distance,execution_time,operations,success,path_length
10-50,50,500035,Breadth-First,17.3781,0.030641,4590,True,18.0027
10-50,50,500035,Theta*,17.3781,0.008324,12,True,17.3781
10-50,50,500036,A*,11.5758,0.000584,20,True,13.0246
10-50,50,500036,Dijkstra,11.5758,0.044146,4032,True,13.0246
10-50,50,500036,Breadth-First,11.5758,0.0248,3818,True,13.0246
10-50,50,500036,Theta*,11.5758,0.009263,11,True,11.5758
10-50,50,500037,A*,14.6969,0.000625,28,True,17.0246
10-50,50,500037,Dijkstra,14.6969,0.030877,2937,True,17.0246
10-50,50,500037,Breadth-First,14.6969,0.020144,3167,True,18.5851
10-50,50,500037,Theta*,14.6969,0.000646,15,True,15.5323
10-50,50,500038,A*,32.1714,0.016193,595,True,35.5378
10-50,50,500038,Dijkstra,32.1714,0.595802,55079,True,35.5378
10-50,50,500038,Breadth-First,32.1714,0.248847,37288,True,35.5378
10-50,50,500038,Theta*,32.1714,0.010763,28,True,32.3695
10-50,50,500039,A*,35.7351,0.015326,741,True,41.2911
10-50,50,500039,Dijkstra,35.7351,0.686543,61138,True,41.2911
10-50,50,500039,Breadth-First,35.7351,0.278283,40989,True,42.3621
10-50,50,500039,Theta*,35.7351,0.015399,94,True,39.3913
10-50,50,500040,A*,17.4929,0.001049,38,True,19.6603
10-50,50,500040,Dijkstra,17.4929,0.111956,10313,True,19.6603
10-50,50,500040,Breadth-First,17.4929,0.063009,9271,True,19.853
10-50,50,500040,Theta*,17.4929,0.009554,17,True,17.4929
10-50,50,500041,A*,28.6182,0.0021,118,True,30.9453
10-50,50,500041,Dijkstra,28.6182,0.536557,47269,True,30.9453
10-50,50,500041,Breadth-First,28.6182,0.257184,38290,True,32.2665
10-50,50,500041,Theta*,28.6182,0.011818,66,True,30.0786
10-50,50,500042,A*,11.8322,0.012731,1068,True,22.4887
10-50,50,500042,Dijkstra,11.8322,0.218092,20254,True,22.4887
10-50,50,500042,Breadth-First,11.8322,0.106382,16128,True,25.8523
10-50,50,500042,Theta*,11.8322,0.039295,857,True,20.9765
10-50,50,500043,A*,16.9115,0.010316,842,True,21.6062
10-50,50,500043,Dijkstra,16.9115,0.231693,21411,True,21.6062
10-50,50,500043,Breadth-First,16.9115,0.10614,15968,True,21.6561
10-50,50,500043,Theta*,16.9115,0.020889,392,True,20.453
10-50,50,500044,A*,45.1996,0.008154,541,True,49.974
10-50,50,500044,Dijkstra,45.1996,0.806963,74060,True,49.974
10-50,50,500044,Breadth-First,45.1996,0.523966,77905,True,54.3663
10-50,50,500044,Theta*,45.1996,0.010926,44,True,46.6807
10-50,50,500045,A*,29.0861,0.010002,709,True,32.4347
10-50,50,500045,Dijkstra,29.0861,0.30511,28405,True,32.4347
10-50,50,500045,Breadth-First,29.0861,0.145209,21992,True,32.531
10-50,50,500045,Theta*,29.0861,0.012735,58,True,29.8252
10-50,50,500046,A*,23.6008,0.005551,342,True,26.4634
10-50,50,500046,Dijkstra,23.6008,0.5398,49168,True,26.4634
10-50,50,500046,Breadth-First,23.6008,0.275545,40970,True,26.4634
10-50,50,500046,Theta*,23.6008,0.009175,21,True,23.6008
10-50,50,500047,A*,19.7484,0.012906,1013,True,24.7778
10-50,50,500047,Dijkstra,19.7484,0.323286,29717,True,24.7778
10-50,50,500047,Breadth-First,19.7484,0.252399,32534,True,25.4135
10-50,50,500047,Theta*,19.7484,0.025914,605,True,23.0988
10-50,50,500048,A*,13.0384,0.000376,14,True,13.9029
